rpoS	millerUnits	strain	replicate
0	314.6929825	LB5	A
26	403.2976827	LB5	A
89	597.3154362	LB5	A
0	273.0750837	LB5	B
26	437.751004	LB5	B
89	575.7918552	LB5	B
0	325.5017132	LB5	C
26	418.6773905	LB5	C
89	586.6326096	LB5	C
0	281.9875776	LB5	D
26	444.7184546	LB5	D
89	626.4805415	LB5	D
0	317.3515982	LB5	E
26	435.4700855	LB5	E
89	562.8768303	LB5	E
0	261.7777778	LB5	F
26	431.7295189	LB5	F
89	571.2909441	LB5	F
0	230.1922175	LB5	G
26	333.8129496	LB5	G
89	510.3415103	LB5	G
0	280.0959233	LB5	H
26	411.7913832	LB5	H
89	605.3438458	LB5	H
0	1877.934272	LB4	A
26	4895.104895	LB4	A
89	289715.7623	LB4	A
0	1938.610662	LB4	B
26	8988.764045	LB4	B
89	302373.8872	LB4	B
0	1960.784314	LB4	C
26	9299.895507	LB4	C
89	243980.344	LB4	C
0	2571.711177	LB4	D
26	7893.485497	LB4	D
89	376131.6872	LB4	D
0	3354.297694	LB4	E
26	15561.95965	LB4	E
89	387264.1509	LB4	E
0	1601.601602	LB4	F
26	56158.9404	LB4	F
89	309430.4388	LB4	F
0	2008.032129	LB4	G
26	23934.10853	LB4	G
89	313349.9171	LB4	G
0	2298.850575	LB4	H
26	11340.75252	LB4	H
89	308645.1613	LB4	H
0	37386.01824	LB1	A
26	195897.4359	LB1	A
89	453285.5436	LB1	A
0	50812.40768	LB1	B
26	216526.6106	LB1	B
89	544196.9519	LB1	B
0	53028.2638	LB1	C
26	287671.2329	LB1	C
89	520763.1874	LB1	C
0	59324.52276	LB1	D
26	229137.1994	LB1	D
89	525820.5689	LB1	D
0	80268.45638	LB1	E
26	284143.2225	LB1	E
89	585743.3809	LB1	E
0	71038.25137	LB1	F
26	270618.5567	LB1	F
89	588198.1033	LB1	F
0	64285.71429	LB1	G
26	231710.7093	LB1	G
89	581920.904	LB1	G
0	62608.69565	LB1	H
26	217852.1618	LB1	H
89	580499.4055	LB1	H
