rpoS	lacZ	strain	replicate
0	1341.281669	MKD13	A
26	1778.512397	MKD13	A
89	1933.333333	MKD13	A
0	1207.843137	MKD13	B
26	2157.367668	MKD13	B
89	2002.70636	MKD13	B
0	1355.555556	MKD13	C
26	1422.619048	MKD13	C
89	1673.352436	MKD13	C
0	1875.02733	MKD13	D
26	2244.250081	MKD13	D
89	1699.801872	MKD13	D
0	464.6194927	MKD13	E
26	1048.710602	MKD13	E
89	682.5174825	MKD13	E
0	1643.59352	MKD13	F
26	1990.755008	MKD13	F
89	2159.126365	MKD13	F
0	1687.315634	MKD13	G
26	1707.390649	MKD13	G
89	1753.510141	MKD13	G
0	1376.947041	MKD13	H
26	2069.172932	MKD13	H
89	2040	MKD13	H
0	3577.292576	MKD14	A
26	7194.290246	MKD14	A
89	8427.378965	MKD14	A
0	2859.813084	MKD14	B
26	4100.787402	MKD14	B
89	8912.592593	MKD14	B
0	3502.423263	MKD14	C
26	17636.84211	MKD14	C
89	8852.367688	MKD14	C
0	3512.677799	MKD14	D
26	7998.690885	MKD14	D
89	9985.288426	MKD14	D
0	3167.832168	MKD14	E
26	9959.564541	MKD14	E
89	6201.342282	MKD14	E
0	3978.87324	MKD14	F
26	8178.082192	MKD14	F
89	8467.948718	MKD14	F
0	3535.836178	MKD14	G
26	6591.836735	MKD14	G
89	6983.49835	MKD14	G
0	5366.459627	MKD14	H
26	10383.23353	MKD14	H
89	10533.70786	MKD14	H
0	163.0434783	MKD15	A
26	210.8262108	MKD15	A
89	278.9317507	MKD15	A
0	178.9173789	MKD15	B
26	257.1827057	MKD15	B
89	345.9037711	MKD15	B
0	225.4742548	MKD15	C
26	324.7082699	MKD15	C
89	379.7909408	MKD15	C
0	244.4104135	MKD15	D
26	275.9455371	MKD15	D
89	346.8208093	MKD15	D
0	264.9921507	MKD15	E
26	324.4239631	MKD15	E
89	435.0081037	MKD15	E
0	189.6713615	MKD15	F
26	251.0903427	MKD15	F
89	401.3157895	MKD15	F
0	222.6622662	MKD15	G
26	318.7401575	MKD15	G
89	380.0569801	MKD15	G
0	217.8517398	MKD15	H
26	277.1331058	MKD15	H
89	377.5351014	MKD15	H
			
